Retailer,Title,Product,Price,Available,SKU,Website
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"22,400.00","['23', '24', '25', '26', '28', '30', '31', '32']",LCN1379PLLN,https://www.agjeans.com/farrah-skinny-LCN1379PLLN.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"22,400.00","['28', '30', '31']",EMP143405YGRS,https://www.agjeans.com/prima-EMP143405YGRS.html
agjeans,Alexxis Slim,VINTAGE SLIM,"21,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",EMP177718YPDE,https://www.agjeans.com/farrah-skinny-ankle-EMP177718YPDE.html
agjeans,Alexxis,VINTAGE STRAIGHT,"24,400.00","['23', '24', '25', '26', '27', '28']",SST195802YKYO,https://www.agjeans.com/phoebe-extended-SST195802YKYO.html
agjeans,Prima,CIGARETTE LEG,"19,900.00","['23', '24', '25', '27', '28', '29', '30', '31', '32']",SGD1B76HOSH,https://www.agjeans.com/alexxis-slim-SGD1B76HOSH.html
agjeans,Prima Ankle,CIGARETTE ANKLE,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",RLS1389BT27YCXT,https://www.agjeans.com/legging-ankle-RLS1389BT27YCXT.html
agjeans,Alexxis,VINTAGE STRAIGHT,"20,900.00","['27', '28', '29', '30', '31', '32']",EMP143422YYLL,https://www.agjeans.com/prima-EMP143422YYLL.html
agjeans,Prima,CIGARETTE LEG,"20,900.00","['23', '24', '30', '31']",HYI148902YPES,https://www.agjeans.com/hailey-roll-up-short-HYI148902YPES.html
agjeans,Kinsley,HIGH-RISE FLARED CROP,"19,900.00","['23', '24', '26', '27', '28', '29', '30', '31', '32']",LGN1B11EX24YALT,https://www.agjeans.com/alexxis-short-LGN1B11EX24YALT.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",STS1979RDWY,https://www.agjeans.com/alexxis-STS1979RDWY.html
agjeans,Alexxis Slim,VINTAGE SLIM,"19,900.00","['24', '25', '26', '27', '28', '30', '31', '32']",VBS157518YPOL,https://www.agjeans.com/ex-boyfriend-slim-VBS157518YPOL.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"21,400.00","['23', '25', '26', '27', '28', '29', '30', '31', '32']",EMP175318YPDE,https://www.agjeans.com/isabelle-EMP175318YPDE.html
agjeans,Alexxis,VINTAGE STRAIGHT,"21,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']",SGD1B74SHRM,https://www.agjeans.com/alexxis-slim-SGD1B74SHRM.html
agjeans,Alexxis Slim,VINTAGE SLIM,"22,400.00","['23', '24', '25', '26', '27', '29', '30', '31', '32']",SGD1B64RMRPBC,https://www.agjeans.com/deven-SGD1B64RMRPBC.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",RAS177707YCOV,https://www.agjeans.com/farrah-skinny-ankle-RAS177707YCOV.html
agjeans,Ezzra,TRUE BOYFRIEND,"21,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",NBD1B11JTBWHE,https://www.agjeans.com/alexxis-short-NBD1B11JTBWHE.html
agjeans,Deven,HIGH-RISE ULTRA WIDE LEG,"23,400.00","['23', '26', '27', '28', '29', '30', '31', '32']",HZI1613RXBY,https://www.agjeans.com/caden-HZI1613RXBY.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"24,400.00","['XS', 'S', 'M', 'L']",VSL1B91SBA,https://www.agjeans.com/nova-jogger-short-VSL1B91SBA.html
agjeans,Prima Crop,CIGARETTE LEG,"22,400.00","['27', '28', '29', '30', '31', '32']",RAS143407YCOV,https://www.agjeans.com/prima-RAS143407YCOV.html
agjeans,Saige,HIGH-RISE STRAIGHT,"21,400.00","['XS', 'S', 'M', 'L', 'XL']",VBS4518HIGT,https://www.agjeans.com/darted-arkadia-jacket-VBS4518HIGT.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",SGD1979LM21YWSS,https://www.agjeans.com/alexxis-SGD1979LM21YWSS.html
agjeans,Ezzra,TRUE BOYFRIEND,"22,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",NBD1B11SPAWDT,https://www.agjeans.com/alexxis-short-NBD1B11SPAWDT.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"21,400.00","['23', '24', '25', '26', '27', '29', '30', '31', '32']",EMP1875RMON,https://www.agjeans.com/mari-EMP1875RMON.html
agjeans,Saige,HIGH-RISE STRAIGHT,"19,900.00","['XS', 'S', 'M', 'L', 'XL']",LGN4529JSDC,https://www.agjeans.com/chelsea-jacket-LGN4529JSDC.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"22,400.00","['23', '24', '27', '30', '32']",LED1604VN20YHOP,https://www.agjeans.com/nikki-short-LED1604VN20YHOP.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"19,900.00","['24', '26']",EMP1A4819YSYW,https://www.agjeans.com/mari-crop-EMP1A4819YSYW.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30']",EMP138916YCPD,https://www.agjeans.com/legging-ankle-EMP138916YCPD.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",SGD1A98CH08YFEV,https://www.agjeans.com/knoxx-SGD1A98CH08YFEV.html
agjeans,Alexxis Slim,VINTAGE SLIM,"21,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",DSD1979RHEPLTST,https://www.agjeans.com/alexxis-DSD1979RHEPLTST.html
agjeans,Prima Ankle,CIGARETTE ANKLE,"20,900.00","['23', '24', '25', '27', '28', '29', '30', '31', '32']",BKS1979SHAB,https://www.agjeans.com/alexxis-BKS1979SHAB.html
